"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
6,677588,"Tena, José",627,1,0.167,0.167,0.167,0.333,0.211,0.239,0.201,1,6,89.6,4.8,2418,92.1,92.92,0,6,0,0.8000000000000114,6.65,125,150,103,153,284,310,299,"0.565","-0.565","70.2","6.9",6,6,0,1,0,0,0,0,0,0,1.77667,0.92,0.43333,-0.36,"94.4",137,66.66666666666666,16.666666666666664,16.666666666666664,5.85,-1.15,-0.27,2.67,0.167,1,"-9.416666667",0.201,0.358,"9.416666667",-0.034,-0.034,-0.025,-0.028,0,"39.6",8.488216419849168,4.1522448285491755,28.631996184593,0.8333333333333334,37.00342073845964,29.855582861780036
6,678877,"Noel, Jhonkensy",402,1.5,0.167,0,0.167,0.167,0.148,0.169,0.186,1,6,81.6,10,2116,90.7,91.2,0,6,0,0.5,6.6,112,153,127,149,298,322,292,"0.629","-0.629","78.5","7.3",6,6,1,0,0,0,0,0,0,0,2.31333,0.47333,0.455,-0.18167,"94.0",78,33.33333333333333,0,0,4.93,2.09,-0.22,2.47,0.167,0,"-10.483333333",0.186,0.203,"10.483333333",-0.019,-0.01899999999999999,-0.036,-0.021,0,"18.4",-0.972061008006321,6.251805763647457,32.48742430220227,0.16666666666666666,38.142783431004915,28.840242707442023
6,672820,"Sosa, Lenyn",719,0.8,0.167,0,0.167,0.167,0.148,0.174,0.18,1,6,88.8,23,2454,88.3,88.75,0,6,0,0.5,6.52,107,154,124,147,303,325,292,"0.842","-0.842","74.3","7.8",6,6,1,0,0,0,0,0,0,0,2.515,0.43,-0.12333,-0.12333,"93.9",160,66.66666666666666,0,0,5.53,-2.4,0.27,1.77,0.167,0,"-14.033333333",0.18,0.221,"14.033333333",-0.013,-0.012999999999999984,-0.054,-0.026,0,"31.5",11.388123181249137,1.0865106405700684,35.62264853691926,0.8333333333333334,39.75313381690782,33.75796938158697
6,668670,"Rogers, Jake",193,3.1,0.167,0,0.167,0.167,0.148,0.068,0.073,1,6,91.1,22.7,2474,90.4,91.17,0,6,0,0.7999999999999972,6.62,107,154,119,150,305,330,295,"0.74","-0.74","70.0","7.2",6,6,1,0,0,0,0,0,0,0,1.975,0.81667,0.21167,0.23833,"93.3",112,33.33333333333333,0,0,5.87,0.62,-0.16,2.56,0.167,0,"-12.333333333",0.073,0.084,"12.333333333",0.094,0.09400000000000001,0.083,0.08,0,"43.6",13.593717424574752,1.2049280117598435,29.189137258761917,1,34.116846092525314,30.15351349740886
6,669477,"Schmitt, Casey",291,2.1,0.4,0,0.4,0.4,0.356,0.363,0.373,2,5,78.8,10.5,2323,92.2,92.55,0,6,0,0.29999999999999716,6.6,103,143,113,143,302,304,281,"-0.17","0.17","69.0","7.3",6,6,2,0,0,0,0,0,0,0,1.68167,1.02833,0.31333,0.09333,"91.3",151,33.33333333333333,0,0,6.11,-0.28,0.14,2.58,0.4,0,"2.833333333",0.373,0.483,"-2.833333333",0.027,0.027000000000000024,-0.083,-0.007,0,"49.3",10.204344612876536,-13.163717170506352,31.75566207383611,1,34.499224484075654,31.441340547792095
5,670224,"Misner, Kameron",866,0.6,0.2,0,0.2,0.2,0.178,0.157,0.169,1,5,83.5,2.8,2157,88.4,88.9,0,5,0,0.5,6.62,116,147,116,151,288,323,295,"0.602","-0.602","68.5","7.8",5,5,1,0,0,0,0,0,0,0,2.746,0.238,0.37,-0.814,"91.9",71,20,0,0,5.42,-0.55,-0.5,2.14,0.2,0,"-12.04",0.169,0.19,"12.04",0.031,0.031,0.01,0.021,0,"32.1",6.484008367919232,-1.339127292726206,37.8033365987953,0.6,42.84905193144029,32.34521910739525
5,571657,"Farmer, Kyle",625,0.8,0,0,0,0,0,0.261,0.266,0,5,86.7,-0.6,2501,90.4,90.54,0,5,0,0.09999999999999432,6.32,106,152,118,148,315,328,291,"0.32","-0.32","66.8","6.8",5,5,0,0,0,0,0,0,0,0,2.608,0.22,0.27,0.27,"90.3",104,20,0,0,5.76,-1.49,-0.17,2.19,0,0,"-6.4",0.266,0.335,"6.4",-0.266,-0.266,-0.335,-0.261,0,"32.8",10.517244779930248,-3.330602850588569,36.060927693401524,0.8,33.52434525569412,32.31285851672561
5,592192,"Canha, Mark",416,1.2,0.2,0.2,0.2,0.4,0.253,0.479,0.404,1,5,91.3,8.8,1944,87.2,87.44,0,5,0,0.20000000000000284,6.38,101,150,124,144,304,323,291,"0.388","-0.388","67.8","7.4",5,5,0,1,0,0,0,0,0,0,2.518,0.49,-0.096,-0.06,"94.3",182,60,20,20,5.94,0.66,0.12,2.43,0.2,1,"-7.76",0.404,0.738,"7.76",-0.204,-0.20400000000000001,-0.338,-0.226,0,"39.9",13.604180845061439,-2.333772215314286,33.539851344791174,0.8,36.857530023805786,34.72930375857526
5,666160,"Moniak, Mickey",632,0.8,0.2,0,0.2,0.2,0.178,0.316,0.291,1,5,89.5,13.2,2209,90.4,90.44,0,5,0,0,6.18,100,128,110,133,307,327,297,"0.467","-0.467","74.3","7.7",5,5,1,0,0,0,0,0,0,0,2.47,0.332,0.384,-0.384,"93.3",165,40,0,0,5.84,-1.57,-0.05,1.71,0.2,0,"-9.34",0.291,0.441,"9.34",-0.091,-0.09099999999999997,-0.241,-0.138,0,"38.1",9.03715168649383,-2.8374550245429635,38.454934532723854,0.4,39.485048928019275,30.134305121363358
5,656582,"Joe, Connor",241,2.1,0.25,0,0.2,0.25,0.178,0.273,0.291,1,4,83.5,29.8,2141,82.8,82.64,0,5,0,-0.20000000000000284,6,99,141,114,135,295,315,293,"0.461","-0.461","72.1","6.7",5,5,1,0,0,0,0,0,0,0,2.99,1.46,0.144,-0.472,"89.5",220,0,0,0,6.05,0.92,-0.28,3.2,0.2,0,"-9.22",0.273,0.357,"9.22",-0.041,-0.07300000000000001,-0.107,-0.095,0,"41.7",2.6317189357489603,-4.8320201016067585,24.579902878816164,0,33.71620940884084,31.690846150509927
