Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,XBR,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
Christian Walker,76,317,10,32,37,0,6.90%,27.40%,0.146,0.269,0.215,0.281,0.361,0.284,0.319,82,-0.6,-7.2,-4.6,-0.1,6.90%,27.40%,0.25,0.215,0.281,0.361,0.642,0.146,2.1,0.269,-0.2,-0.4,29,-7.5,0.284,82,0.269,0.85,17.20%,37.90%,44.80%,11.00%,11.00%,6,7.80%,0,0.00%,42.90%,38.90%,18.20%,15.30%,49.30%,35.50%,277,91.4,106.8,112.3,8.4,28,10.10%,138,49.80%,0.277,0.312,0.44,0.518,0.329,0.374
Christian Yelich,75,320,15,39,56,12,10.00%,26.60%,0.194,0.324,0.264,0.344,0.458,0.348,0.34,122,1.5,9.7,-10.5,1,10.00%,26.60%,0.38,0.264,0.344,0.458,0.801,0.194,4.2,0.324,0.9,0.7,46,8.6,0.348,122,0.324,2.37,17.50%,58.00%,24.50%,4.10%,30.60%,7,6.00%,0,0.00%,34.50%,40.50%,25.00%,16.50%,49.50%,34.00%,222,90.7,105.5,111.7,8.5,23,10.40%,107,48.20%,0.271,0.31,0.427,0.51,0.321,0.373
CJ Abrams,67,298,11,52,26,16,7.00%,17.10%,0.204,0.319,0.287,0.36,0.491,0.369,0.36,137,3.8,16.8,-2.3,2.5,7.00%,17.10%,0.41,0.287,0.36,0.491,0.851,0.204,7.5,0.319,1.9,1.9,48,13.2,0.369,137,0.319,1.01,22.30%,39.10%,38.60%,13.30%,13.30%,4,4.80%,0,0.00%,41.70%,38.00%,20.40%,21.30%,49.50%,29.20%,242,89.9,103.9,109.4,10.5,20,8.30%,101,41.70%,0.31,0.31,0.438,0.481,0.357,0.372
Cody Bellinger,72,306,10,37,38,7,8.80%,15.00%,0.183,0.275,0.26,0.324,0.443,0.331,0.336,113,0.3,4.9,1.4,1.7,8.80%,15.00%,0.59,0.26,0.324,0.443,0.767,0.183,5.7,0.275,0.2,0.1,40,4.1,0.331,113,0.275,0.7,20.70%,32.80%,46.60%,8.30%,9.30%,5,6.60%,0,0.00%,46.10%,27.60%,26.30%,17.20%,54.70%,28.00%,166,90.5,104.3,109.8,16.5,23,13.90%,71,42.80%,0.24,0.256,0.467,0.504,0.355,0.371
Corbin Carroll,72,323,20,57,44,10,9.30%,24.80%,0.318,0.285,0.255,0.341,0.573,0.388,0.389,148,4.5,22.6,0.6,3.5,9.30%,24.80%,0.38,0.255,0.341,0.573,0.914,0.318,7.6,0.285,4.6,0,56,19,0.388,148,0.285,0.81,18.40%,36.40%,45.10%,14.00%,21.50%,6,8.00%,0,0.00%,45.10%,33.00%,21.80%,18.00%,42.20%,39.80%,207,89.9,108.9,114.7,9.4,28,13.50%,96,46.40%,0.248,0.274,0.418,0.505,0.331,0.37
Dansby Swanson,78,327,14,44,39,7,7.00%,26.60%,0.181,0.282,0.237,0.288,0.418,0.305,0.344,96,1.1,-0.5,4.2,1.5,7.00%,26.60%,0.26,0.237,0.288,0.418,0.706,0.181,5.1,0.282,1,0.2,36,-2.3,0.305,96,0.282,1.14,20.50%,42.30%,37.20%,16.30%,17.50%,12,13.20%,0,0.00%,43.80%,36.90%,19.40%,16.10%,50.20%,33.60%,172,90.7,108.3,110.3,12.7,29,16.90%,87,50.60%,0.27,0.273,0.464,0.513,0.349,0.369
Elly De La Cruz,80,344,18,63,55,21,9.90%,25.90%,0.238,0.328,0.274,0.349,0.511,0.367,0.363,129,4.4,15.9,-2.2,2.6,9.90%,25.90%,0.38,0.274,0.349,0.511,0.86,0.238,7.1,0.328,3.1,1.3,54,14.5,0.367,129,0.328,1.63,11.90%,54.60%,33.50%,6.80%,24.70%,9,7.60%,0,0.00%,44.70%,31.50%,23.70%,13.20%,48.40%,38.40%,177,92,106.4,111.3,15.8,26,14.70%,86,48.60%,0.278,0.282,0.494,0.54,0.35,0.369
Eric Wagaman,72,292,5,30,29,2,5.80%,18.80%,0.125,0.298,0.255,0.295,0.38,0.295,0.336,83,-1,-6.7,-7,-0.4,5.80%,18.80%,0.31,0.255,0.295,0.38,0.675,0.125,3.5,0.298,-0.6,-0.4,29,-4.6,0.295,83,0.298,1.21,21.80%,42.70%,35.50%,7.70%,6.40%,8,8.50%,0,0.00%,39.10%,37.70%,23.20%,14.10%,53.60%,32.30%,202,90.8,108.3,114.5,12.4,38,18.80%,96,47.50%,0.299,0.269,0.538,0.546,0.382,0.368
Ernie Clement,76,266,4,35,19,3,4.50%,10.90%,0.117,0.336,0.31,0.342,0.427,0.336,0.297,118,0.7,6.2,9.4,2.5,4.50%,10.90%,0.41,0.31,0.342,0.427,0.77,0.117,3.1,0.336,1.8,-1.1,36,4.7,0.336,118,0.336,0.9,25.30%,35.30%,39.40%,9.20%,4.60%,8,10.30%,0,0.00%,43.30%,29.90%,26.80%,17.40%,59.80%,22.80%,218,92.8,108.6,116.2,18.3,40,18.30%,112,51.40%,0.262,0.273,0.546,0.54,0.365,0.367
Eugenio Suárez,78,319,25,48,67,1,6.60%,25.70%,0.318,0.256,0.251,0.323,0.569,0.377,0.362,140,-3.3,11.8,-0.6,2.2,6.60%,25.70%,0.26,0.251,0.323,0.569,0.892,0.318,2.8,0.256,-3.1,-0.2,53,16.1,0.377,140,0.256,0.6,20.50%,29.80%,49.80%,5.90%,24.50%,3,4.90%,0,0.00%,47.30%,35.60%,17.10%,14.60%,47.80%,37.60%,213,92.5,107.4,112,12,21,9.90%,119,55.90%,0.309,0.305,0.432,0.498,0.342,0.364
