Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,XBR,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
Lawrence Butler,76,335,11,44,32,11,8.10%,28.10%,0.188,0.335,0.256,0.316,0.445,0.332,0.313,114,3,8.3,-2.5,1.8,8.10%,28.10%,0.29,0.256,0.316,0.445,0.761,0.188,5.4,0.335,2.5,0.5,44,4.7,0.332,114,0.335,1.28,20.70%,44.60%,34.70%,4.10%,14.90%,6,6.30%,1,100.00%,34.60%,37.40%,28.00%,14.00%,52.80%,33.20%,220,90.9,106.6,113.5,10.7,14,6.40%,101,45.90%,0.255,0.286,0.38,0.456,0.295,0.336
Lourdes Gurriel Jr.,73,310,10,25,40,7,5.80%,14.20%,0.165,0.268,0.257,0.303,0.423,0.315,0.322,98,0.1,-0.7,-4.6,0.5,5.80%,14.20%,0.41,0.257,0.303,0.423,0.726,0.165,4.2,0.268,-0.5,0.6,36,0.1,0.315,98,0.268,0.8,18.40%,36.30%,45.30%,15.30%,9.00%,8,9.00%,0,0.00%,39.60%,35.90%,24.50%,18.40%,54.30%,27.30%,205,92.1,108.4,116.2,17.7,26,12.70%,106,51.70%,0.287,0.262,0.514,0.473,0.364,0.336
Luis Arraez,73,319,3,37,29,3,4.10%,1.90%,0.111,0.277,0.282,0.311,0.393,0.307,0.283,98,-1.1,-1.9,-11,-0.3,4.10%,1.90%,2.17,0.282,0.311,0.393,0.704,0.111,5.2,0.277,-0.8,-0.3,35,-1.8,0.307,98,0.277,1.31,25.70%,42.10%,32.20%,6.40%,3.20%,7,5.70%,2,28.60%,30.10%,31.10%,38.80%,12.70%,72.90%,14.40%,221,91.1,103.4,109.8,8.2,14,6.30%,99,44.80%,0.277,0.269,0.367,0.4,0.322,0.334
Luis García Jr.,71,278,7,36,36,7,5.80%,13.70%,0.157,0.288,0.271,0.313,0.427,0.321,0.373,104,-1.7,-0.3,-5.1,0.4,5.80%,13.70%,0.42,0.271,0.313,0.427,0.74,0.157,4.2,0.288,-1,-0.6,34,1.5,0.321,104,0.288,1.29,19.40%,45.50%,35.10%,6.40%,9.00%,6,5.90%,0,0.00%,40.50%,40.10%,19.40%,17.60%,46.40%,36.00%,191,88.1,101.9,108.2,14.7,11,5.80%,66,34.60%,0.282,0.274,0.427,0.419,0.343,0.334
Luis Rengifo,72,264,4,20,18,2,5.30%,17.40%,0.077,0.247,0.215,0.259,0.293,0.246,0.306,52,-1.7,-16.2,-2.3,-1,5.30%,17.40%,0.3,0.215,0.259,0.293,0.551,0.077,2.2,0.247,0.3,-2,16,-14.3,0.246,52,0.247,2.29,21.00%,55.00%,24.00%,6.30%,8.30%,6,5.50%,0,0.00%,36.00%,39.40%,24.60%,15.80%,61.60%,22.70%,201,93.6,106,113.6,20.6,26,12.90%,101,50.20%,0.232,0.249,0.397,0.463,0.296,0.333
Luis Robert Jr.,72,285,8,27,32,22,10.20%,30.90%,0.129,0.245,0.185,0.27,0.313,0.261,0.311,63,0.8,-11.2,1.5,0,10.20%,30.90%,0.33,0.185,0.27,0.313,0.584,0.129,5.3,0.245,-0.8,1.6,21,-12.2,0.261,63,0.245,0.85,18.40%,37.40%,44.20%,18.10%,11.10%,1,1.60%,0,0.00%,47.60%,27.40%,25.00%,20.10%,50.60%,29.30%,198,92.7,107.2,113.3,11,14,7.10%,102,51.50%,0.275,0.28,0.429,0.409,0.339,0.333
Maikel Garcia,77,315,8,35,36,17,8.60%,13.70%,0.177,0.342,0.311,0.371,0.488,0.373,0.344,138,-0.4,13.2,-0.8,2.4,8.60%,13.70%,0.63,0.311,0.371,0.488,0.858,0.177,5.6,0.342,0,-0.4,51,14.7,0.373,138,0.342,1.17,20.90%,42.70%,36.40%,11.50%,9.20%,7,6.90%,1,20.00%,37.70%,38.50%,23.80%,13.90%,54.10%,32.00%,257,87.8,101.8,105.4,12.3,10,3.90%,80,31.10%,0.253,0.286,0.408,0.407,0.318,0.333
Manny Machado,79,335,13,52,47,8,9.30%,16.70%,0.196,0.332,0.302,0.364,0.498,0.372,0.387,143,0.1,16.8,-0.7,2.8,9.30%,16.70%,0.55,0.302,0.364,0.498,0.863,0.196,4.3,0.332,-0.2,0.2,54,15.6,0.372,143,0.332,1.05,20.60%,40.70%,38.70%,9.40%,13.50%,7,6.90%,0,0.00%,33.90%,38.30%,27.80%,13.30%,51.20%,35.50%,206,88.5,103.8,107.9,11,11,5.30%,80,38.80%,0.307,0.28,0.402,0.412,0.34,0.332
Marcell Ozuna,75,330,11,34,40,0,17.60%,22.70%,0.162,0.304,0.252,0.385,0.414,0.355,0.386,126,-1.5,8.5,-8.1,1.2,17.60%,22.70%,0.77,0.252,0.385,0.414,0.798,0.162,0.8,0.304,-0.9,-0.7,49,10.8,0.355,126,0.304,1.07,20.10%,41.20%,38.70%,5.30%,14.70%,3,3.80%,0,0.00%,41.20%,33.00%,25.80%,13.90%,51.50%,34.50%,215,90.7,105.4,111.1,11.8,17,7.90%,91,42.30%,0.237,0.272,0.38,0.472,0.283,0.332
Marcus Semien,79,319,7,30,32,6,10.00%,18.50%,0.111,0.251,0.221,0.301,0.332,0.284,0.326,80,1.2,-6,3.1,0.8,10.00%,18.50%,0.54,0.221,0.301,0.332,0.633,0.111,4.4,0.251,1,0.3,29,-7.7,0.284,80,0.251,0.77,19.50%,35.00%,45.60%,13.60%,6.80%,4,5.10%,0,0.00%,45.60%,36.30%,18.10%,18.10%,50.40%,31.40%,249,91.1,106.3,114.4,16,19,7.60%,109,43.80%,0.267,0.268,0.407,0.443,0.32,0.332
Masyn Winn,68,288,7,49,29,4,8.30%,18.10%,0.136,0.294,0.256,0.324,0.391,0.317,0.314,102,0.2,1,10.1,2.1,8.30%,18.10%,0.46,0.256,0.324,0.391,0.716,0.136,4,0.294,1.9,-1.7,34,0.6,0.317,102,0.294,0.78,23.40%,33.70%,42.90%,13.60%,8.00%,6,8.70%,1,25.00%,42.10%,32.10%,25.80%,19.60%,54.50%,25.80%,174,88.6,105.3,113.8,15.6,23,13.20%,72,41.40%,0.269,0.249,0.482,0.455,0.349,0.332
Matt Chapman,65,272,12,35,30,7,14.70%,23.90%,0.209,0.288,0.243,0.36,0.452,0.359,0.374,131,0.3,10.3,3.5,2.4,14.70%,23.90%,0.62,0.243,0.36,0.452,0.812,0.209,3.8,0.288,0.1,0.1,41,9.7,0.359,131,0.288,0.71,15.20%,35.20%,49.70%,14.60%,14.60%,3,5.20%,0,0.00%,40.00%,33.90%,26.10%,15.20%,47.30%,37.60%,190,89.8,108.1,113.3,8.8,20,10.50%,83,43.70%,0.194,0.241,0.346,0.431,0.279,0.331
Matt McLain,70,282,9,37,27,11,10.30%,28.40%,0.138,0.259,0.203,0.299,0.341,0.289,0.311,76,1.7,-6.3,3.6,0.7,10.30%,28.40%,0.36,0.203,0.299,0.341,0.64,0.138,5.7,0.259,-0.1,1.8,27,-5.6,0.289,76,0.259,0.82,18.20%,37.00%,44.80%,8.10%,12.20%,8,13.10%,1,33.30%,30.40%,40.50%,29.20%,15.50%,53.60%,31.00%,249,90.7,104.1,109.3,6.5,17,6.80%,120,48.20%,0.287,0.283,0.402,0.429,0.32,0.331
Matt Olson,78,342,15,46,52,0,14.00%,22.20%,0.225,0.294,0.256,0.363,0.481,0.366,0.399,134,-0.7,12.8,0.2,2.5,14.00%,22.20%,0.63,0.256,0.363,0.481,0.844,0.225,1.3,0.294,-0.1,-0.6,54,14.3,0.366,134,0.294,1.05,17.60%,42.10%,40.30%,11.50%,17.20%,0,0.00%,0,0.00%,40.30%,32.40%,27.30%,10.60%,47.70%,41.70%,229,89.8,106,112.2,11.5,12,5.20%,87,38.00%,0.246,0.275,0.344,0.397,0.296,0.33
Max Kepler,71,264,9,32,27,0,10.60%,20.50%,0.177,0.235,0.211,0.303,0.388,0.305,0.327,92,0,-2.4,-3.5,0.3,10.60%,20.50%,0.52,0.211,0.303,0.388,0.691,0.177,1.6,0.235,0.3,-0.4,29,-1.9,0.305,92,0.235,0.81,15.10%,38.00%,46.90%,8.30%,10.70%,2,2.90%,0,0.00%,48.00%,32.40%,19.60%,10.60%,49.70%,39.70%,211,90.5,104.9,110.3,20.8,29,13.70%,90,42.70%,0.211,0.231,0.466,0.474,0.319,0.33
Max Muncy,75,292,11,33,45,4,16.40%,21.90%,0.195,0.283,0.246,0.373,0.441,0.357,0.385,130,0.3,10.8,-3.3,1.8,16.40%,21.90%,0.75,0.246,0.373,0.441,0.814,0.195,4.8,0.283,0.1,0.2,44,10.1,0.357,130,0.283,0.71,20.90%,32.80%,46.30%,3.70%,13.40%,1,1.70%,0,0.00%,52.50%,32.20%,15.30%,13.00%,53.10%,33.90%,204,90.3,104.8,112.1,11.5,24,11.80%,91,44.60%,0.252,0.259,0.411,0.461,0.311,0.33
Michael Busch,73,275,12,32,44,3,10.90%,22.50%,0.229,0.313,0.267,0.36,0.496,0.371,0.386,141,-1.6,11.6,-6.6,1.4,10.90%,22.50%,0.48,0.267,0.36,0.496,0.856,0.229,5.2,0.313,-1.7,0.1,44,12.5,0.371,141,0.313,0.91,19.20%,38.40%,42.40%,2.70%,16.00%,3,4.40%,0,0.00%,46.60%,30.90%,22.50%,9.60%,57.30%,33.10%,147,89.9,106.9,112.1,14.3,13,8.80%,72,49.00%,0.241,0.24,0.377,0.396,0.316,0.33
Michael Conforto,69,258,5,28,16,1,12.80%,24.40%,0.12,0.213,0.171,0.298,0.29,0.275,0.337,74,-1.4,-9.3,-5.2,-0.6,12.80%,24.40%,0.52,0.171,0.298,0.29,0.589,0.12,2.9,0.213,-1.2,-0.2,22,-8.2,0.275,74,0.213,1.03,17.40%,41.90%,40.60%,6.30%,7.90%,1,1.50%,0,0.00%,40.60%,31.60%,27.70%,14.20%,52.90%,32.90%,176,90.5,103.5,111.1,22.6,20,11.40%,80,45.50%,0.245,0.235,0.434,0.419,0.336,0.329
Michael Harris II,78,316,6,18,43,11,3.20%,20.60%,0.111,0.257,0.22,0.246,0.331,0.25,0.3,54,1,-15.9,4.2,-0.2,3.20%,20.60%,0.15,0.22,0.246,0.331,0.577,0.111,5.1,0.257,0.4,0.6,20,-16.2,0.25,54,0.257,1.65,16.60%,51.90%,31.50%,1.40%,8.10%,3,2.50%,0,0.00%,39.30%,40.60%,20.10%,18.80%,54.80%,26.40%,211,91.2,107.1,111.8,10.3,15,7.10%,95,45.00%,0.259,0.264,0.431,0.422,0.331,0.329
Miguel Vargas,77,318,10,39,34,3,9.10%,17.30%,0.19,0.259,0.236,0.314,0.426,0.324,0.321,108,0.6,3.5,-3.9,1.1,9.10%,17.30%,0.53,0.236,0.314,0.426,0.741,0.19,4.9,0.259,0.5,0.2,39,2.6,0.324,108,0.259,0.5,15.20%,28.30%,56.50%,9.20%,7.70%,2,3.10%,0,0.00%,42.20%,36.10%,21.70%,15.70%,53.90%,30.40%,277,86,99.5,108.5,8.2,7,2.50%,73,26.40%,0.353,0.308,0.495,0.396,0.388,0.329
Mike Yastrzemski,72,278,6,31,26,5,12.90%,21.20%,0.138,0.307,0.25,0.349,0.388,0.326,0.324,109,1.1,4,-3.8,1,12.90%,21.20%,0.61,0.25,0.349,0.388,0.736,0.138,4.1,0.307,1.4,-0.3,35,2.5,0.326,109,0.307,0.79,20.90%,35.00%,44.10%,11.50%,7.70%,4,6.50%,3,60.00%,41.20%,31.90%,26.90%,15.90%,57.70%,26.40%,261,86.6,99.2,104.1,12.7,5,1.90%,59,22.60%,0.31,0.285,0.432,0.389,0.354,0.328
Mookie Betts,73,322,9,50,39,6,10.90%,9.90%,0.137,0.261,0.257,0.339,0.394,0.323,0.338,107,0.3,3.1,5.9,2,10.90%,9.90%,1.09,0.257,0.339,0.394,0.733,0.137,5.5,0.261,-0.3,0.6,40,2.4,0.323,107,0.261,0.69,21.30%,32.30%,46.50%,9.30%,7.60%,7,8.50%,0,0.00%,41.70%,36.20%,22.00%,15.40%,55.50%,29.10%,179,91.3,104.5,109.4,16.7,22,12.30%,86,48.00%,0.211,0.237,0.388,0.423,0.305,0.327
Nathaniel Lowe,80,333,13,33,52,1,8.40%,26.70%,0.169,0.277,0.228,0.294,0.397,0.304,0.313,93,-3.1,-6,-6,-0.1,8.40%,26.70%,0.31,0.228,0.294,0.397,0.692,0.169,2,0.277,-2.9,-0.3,36,-2.7,0.304,93,0.277,1.31,23.70%,43.30%,33.00%,11.30%,18.30%,4,4.30%,0,0.00%,33.50%,31.20%,35.30%,17.20%,50.70%,32.10%,226,88,102.5,110,19.7,16,7.10%,80,35.40%,0.221,0.253,0.332,0.402,0.284,0.326
Nick Castellanos,78,322,8,36,41,2,5.30%,18.60%,0.158,0.329,0.285,0.326,0.443,0.334,0.341,112,-2.3,2.2,-11,0.2,5.30%,18.60%,0.28,0.285,0.326,0.443,0.769,0.158,3.7,0.329,-2.2,-0.1,42,5,0.334,112,0.329,0.99,24.40%,37.60%,38.00%,3.30%,8.70%,6,6.60%,0,0.00%,43.80%,32.60%,23.60%,9.90%,56.60%,33.50%,198,89.4,106.2,112.7,7.8,12,6.10%,83,41.90%,0.261,0.276,0.39,0.425,0.305,0.324
Nico Hoerner,75,310,1,43,33,15,4.80%,7.10%,0.076,0.313,0.294,0.335,0.37,0.313,0.31,101,1.5,1.8,6.4,1.9,4.80%,7.10%,0.68,0.294,0.335,0.37,0.706,0.076,6,0.313,0.2,1.2,36,-0.3,0.313,101,0.313,1.34,18.20%,46.80%,34.90%,9.60%,1.10%,10,7.90%,0,0.00%,37.90%,35.30%,26.80%,14.90%,59.90%,25.30%,182,90.2,103,108.5,16.9,15,8.20%,70,38.50%,0.25,0.242,0.388,0.397,0.326,0.324
Nolan Arenado,74,311,10,37,39,1,7.40%,10.30%,0.152,0.247,0.247,0.309,0.399,0.306,0.3,96,-0.8,-2.4,4,1.2,7.40%,10.30%,0.72,0.247,0.309,0.399,0.708,0.152,3.3,0.247,-0.5,-0.3,34,-1.9,0.306,96,0.247,0.78,18.20%,36.00%,45.80%,15.50%,8.60%,9,9.90%,0,0.00%,47.80%,31.60%,20.60%,18.60%,56.50%,24.90%,257,88.1,101.3,107.5,14.7,13,5.10%,82,31.90%,0.26,0.247,0.411,0.375,0.337,0.323
Nolan Schanuel,76,320,6,39,30,3,10.60%,12.80%,0.126,0.307,0.278,0.366,0.404,0.34,0.341,118,-0.4,6.1,-5.7,1.2,10.60%,12.80%,0.83,0.278,0.366,0.404,0.77,0.126,3.8,0.307,0,-0.4,44,6.7,0.34,118,0.307,1.13,23.00%,40.90%,36.20%,8.20%,7.10%,4,4.20%,1,20.00%,39.20%,34.60%,26.30%,13.30%,61.70%,25.00%,245,88.4,103.3,109.1,16.2,19,7.80%,92,37.60%,0.257,0.269,0.423,0.43,0.315,0.322
Oneil Cruz,71,308,13,41,31,26,13.60%,33.10%,0.196,0.277,0.208,0.321,0.404,0.318,0.362,99,3.2,2.9,0.5,1.4,13.60%,33.10%,0.41,0.208,0.321,0.404,0.725,0.196,7,0.277,-0.3,3.5,37,0.9,0.318,99,0.277,1.23,16.80%,46.00%,37.30%,8.30%,21.70%,4,5.40%,0,0.00%,41.60%,40.40%,18.00%,15.50%,42.20%,42.20%,230,89.9,102.6,110,23.5,23,10.00%,97,42.20%,0.236,0.241,0.426,0.416,0.324,0.321
Otto Lopez,62,253,6,28,28,8,8.70%,13.80%,0.109,0.265,0.245,0.312,0.354,0.296,0.357,84,1,-3.6,6.6,1.2,8.70%,13.80%,0.63,0.245,0.312,0.354,0.666,0.109,4.1,0.265,1,0,26,-3.6,0.296,84,0.265,1.53,19.50%,48.70%,31.80%,6.50%,9.70%,11,11.60%,0,0.00%,36.40%,39.50%,24.10%,17.90%,56.90%,25.10%,173,91.2,108.1,114.7,15.8,24,13.90%,87,50.30%,0.22,0.247,0.403,0.468,0.283,0.32
Ozzie Albies,78,335,6,34,28,7,8.40%,16.70%,0.103,0.252,0.222,0.293,0.325,0.278,0.283,73,2.2,-8.3,0,0.3,8.40%,16.70%,0.5,0.222,0.293,0.325,0.617,0.103,4.9,0.252,1.8,0.5,29,-9.8,0.278,73,0.252,0.75,19.80%,34.30%,46.00%,14.00%,5.30%,11,12.90%,0,0.00%,49.20%,33.90%,16.90%,19.80%,56.90%,23.40%,191,87.5,105.2,111.2,12.1,16,8.40%,79,41.40%,0.242,0.257,0.371,0.435,0.292,0.32
Paul Goldschmidt,78,313,8,48,32,5,7.70%,18.20%,0.144,0.335,0.288,0.346,0.432,0.338,0.355,118,0.3,6.8,-6.5,1.1,7.70%,18.20%,0.42,0.288,0.346,0.432,0.778,0.144,5.4,0.335,-0.1,0.5,42,6.1,0.338,118,0.335,1.14,24.50%,40.20%,35.40%,8.60%,9.90%,10,10.90%,0,0.00%,41.90%,32.80%,25.30%,12.70%,59.40%,27.90%,179,90.2,106.8,110,8.8,16,8.90%,81,45.30%,0.244,0.26,0.36,0.403,0.299,0.319
Pete Alonso,80,351,18,44,64,0,10.50%,23.10%,0.259,0.332,0.286,0.379,0.545,0.395,0.423,158,-3.5,20.5,-9.3,2.3,10.50%,23.10%,0.46,0.286,0.379,0.545,0.924,0.259,2.2,0.332,-2.1,-1.4,63,22.8,0.395,158,0.332,0.94,24.20%,36.80%,39.00%,10.30%,20.70%,2,2.40%,0,0.00%,42.60%,30.00%,27.40%,13.00%,46.60%,40.40%,203,90.7,107.3,112.8,17.6,25,12.30%,92,45.30%,0.215,0.243,0.361,0.429,0.284,0.319
Pete Crow-Armstrong,78,327,21,58,61,24,4.30%,23.90%,0.289,0.3,0.273,0.31,0.563,0.37,0.358,140,4.7,20,8.2,4,4.30%,23.90%,0.18,0.273,0.31,0.563,0.872,0.289,8.7,0.3,1.8,2.8,53,14.6,0.37,140,0.3,0.51,20.20%,26.90%,52.90%,11.00%,17.80%,3,5.00%,2,22.20%,48.70%,28.90%,22.40%,15.50%,50.90%,33.60%,254,92.3,108.2,117.7,11.3,23,9.10%,119,46.90%,0.257,0.257,0.408,0.407,0.314,0.319
Rafael Devers,80,364,16,49,61,1,16.20%,23.10%,0.224,0.318,0.268,0.393,0.492,0.381,0.397,143,-1.4,16.4,-8.6,2.1,16.20%,23.10%,0.7,0.268,0.393,0.492,0.884,0.224,1.8,0.318,-0.5,-0.9,62,19.5,0.381,143,0.318,1.05,18.00%,41.90%,40.10%,6.90%,18.40%,1,1.10%,0,0.00%,30.90%,41.90%,27.20%,11.10%,49.30%,39.60%,177,86.4,102.2,108.7,13.1,12,6.80%,57,32.20%,0.272,0.261,0.426,0.366,0.34,0.318
Randy Arozarena,76,332,8,36,31,14,11.70%,27.40%,0.161,0.32,0.237,0.355,0.398,0.338,0.344,124,0.1,9.3,-3.1,1.8,11.70%,27.40%,0.43,0.237,0.355,0.398,0.753,0.161,5.8,0.32,-2.1,2.2,45,6.4,0.338,124,0.32,1.07,20.10%,41.30%,38.60%,16.40%,11.00%,9,11.50%,0,0.00%,47.60%,30.70%,21.70%,17.50%,41.80%,40.70%,210,89.2,107.1,114.1,4.2,10,4.80%,86,41.00%,0.241,0.232,0.348,0.354,0.315,0.316
Rhys Hoskins,75,292,12,28,40,2,11.60%,26.70%,0.189,0.299,0.245,0.339,0.434,0.336,0.329,114,-1,3.7,-5.2,0.8,11.60%,26.70%,0.44,0.245,0.339,0.434,0.773,0.189,2,0.299,-0.5,-0.5,39,5.2,0.336,114,0.299,0.6,22.70%,29.00%,48.30%,10.60%,14.10%,4,7.80%,0,0.00%,54.50%,31.30%,14.20%,14.20%,50.60%,35.20%,209,88.4,104.4,110,17.2,12,5.70%,74,35.40%,0.256,0.259,0.391,0.386,0.317,0.314
Riley Greene,78,327,17,44,61,1,7.30%,30.60%,0.239,0.395,0.299,0.352,0.538,0.382,0.368,150,-0.6,17.9,-2.1,2.8,7.30%,30.60%,0.24,0.299,0.352,0.538,0.89,0.239,2,0.395,0.1,-0.7,56,17.7,0.382,150,0.395,1.18,23.30%,41.60%,35.10%,1.40%,23.90%,6,7.10%,0,0.00%,38.60%,30.20%,31.20%,12.90%,50.50%,36.60%,215,89.6,105.1,111.7,10.4,16,7.40%,89,41.40%,0.228,0.242,0.397,0.399,0.304,0.313
Ryan Jeffers,63,246,6,24,29,0,11.40%,19.10%,0.154,0.292,0.248,0.346,0.402,0.332,0.36,114,-0.7,3.3,-1.7,1,11.40%,19.10%,0.6,0.248,0.346,0.402,0.747,0.154,1,0.292,-0.3,-0.4,32,3.5,0.332,114,0.292,0.81,24.00%,34.10%,41.90%,14.30%,8.60%,3,5.30%,0,0.00%,36.50%,34.10%,29.30%,15.60%,50.30%,34.10%,214,91.5,107,113.6,8,21,9.80%,98,45.80%,0.256,0.241,0.445,0.417,0.332,0.313
Ryan McMahon,77,314,12,32,25,2,13.10%,30.90%,0.185,0.301,0.225,0.328,0.41,0.326,0.353,94,0,-2.2,5.2,1.4,13.10%,30.90%,0.42,0.225,0.328,0.41,0.738,0.185,3.1,0.301,0.5,-0.5,39,2.9,0.326,94,0.301,1.05,19.60%,41.10%,39.30%,6.10%,18.20%,1,1.40%,3,42.90%,41.10%,38.90%,20.00%,6.30%,56.00%,37.70%,162,89.6,104.1,109.6,23.1,18,11.10%,66,40.70%,0.22,0.213,0.448,0.432,0.321,0.312
Ryan O'Hearn,66,260,11,30,30,3,10.00%,16.50%,0.185,0.331,0.304,0.385,0.489,0.38,0.385,150,-0.9,14,-3.1,2,10.00%,16.50%,0.6,0.304,0.385,0.489,0.874,0.185,2.7,0.331,-0.6,-0.3,44,13.8,0.38,150,0.331,1.42,22.00%,45.70%,32.30%,5.00%,18.30%,7,8.20%,0,0.00%,39.80%,37.60%,22.60%,11.30%,55.40%,33.30%,205,88.9,105.3,112.9,15.4,13,6.30%,90,43.90%,0.24,0.23,0.37,0.377,0.314,0.311
Sal Frelick,77,313,4,36,31,15,6.70%,13.10%,0.096,0.333,0.295,0.352,0.391,0.33,0.311,110,3.2,6.8,1.5,1.9,6.70%,13.10%,0.51,0.295,0.352,0.391,0.743,0.096,6.5,0.333,1.6,1.6,40,4,0.33,110,0.333,1.46,21.40%,46.60%,31.90%,17.10%,5.30%,9,8.10%,3,50.00%,43.90%,34.40%,21.70%,25.00%,52.90%,22.10%,244,86.7,101.1,106.9,12.5,8,3.30%,74,30.30%,0.291,0.254,0.432,0.343,0.357,0.311
Salvador Perez,75,312,9,19,41,0,4.50%,21.50%,0.157,0.275,0.235,0.277,0.392,0.29,0.346,79,-3.4,-10.7,-1.9,-0.2,4.50%,21.50%,0.21,0.235,0.277,0.392,0.669,0.157,0.4,0.275,-3,-0.4,30,-6.1,0.29,79,0.275,0.74,21.10%,33.50%,45.40%,5.80%,8.70%,3,3.90%,0,0.00%,50.20%,31.70%,18.10%,15.00%,48.90%,36.10%,167,90,106,115.8,20.4,19,11.40%,69,41.30%,0.185,0.232,0.313,0.403,0.261,0.311
Seiya Suzuki,75,333,21,42,67,2,7.80%,26.70%,0.285,0.294,0.262,0.315,0.546,0.365,0.367,136,-1.1,13,-6.8,1.8,7.80%,26.70%,0.29,0.262,0.315,0.546,0.862,0.285,3.4,0.294,-0.3,-0.8,52,13.4,0.365,136,0.294,0.62,25.70%,28.40%,45.90%,9.00%,21.00%,5,8.10%,0,0.00%,44.00%,33.90%,22.00%,13.30%,50.00%,36.70%,203,89.4,104.7,110.5,9.1,18,8.90%,87,42.90%,0.233,0.236,0.423,0.398,0.317,0.311
Shohei Ohtani,78,364,27,77,51,11,13.20%,25.50%,0.338,0.326,0.289,0.387,0.627,0.422,0.435,174,2.3,34,-8.4,3.9,13.20%,25.50%,0.52,0.289,0.387,0.627,1.014,0.338,7.5,0.326,2.2,0,73,31.3,0.422,174,0.326,1.04,16.40%,42.70%,40.90%,4.40%,30.00%,7,7.40%,0,0.00%,49.50%,35.50%,15.00%,10.50%,44.10%,45.50%,247,85.3,100.3,109.1,11,7,2.80%,69,27.90%,0.295,0.277,0.391,0.359,0.33,0.311
Spencer Steer,73,291,6,30,27,6,6.90%,25.10%,0.123,0.309,0.242,0.296,0.364,0.292,0.278,78,-0.2,-7.8,-3.3,-0.2,6.90%,25.10%,0.27,0.242,0.296,0.364,0.66,0.123,4.8,0.309,-0.5,0.4,29,-5.2,0.292,78,0.309,0.95,26.50%,35.70%,37.80%,16.20%,8.10%,5,7.10%,1,100.00%,47.70%,31.00%,21.30%,18.80%,59.90%,21.30%,168,89,104,109.9,16.2,14,8.30%,70,41.70%,0.203,0.223,0.341,0.383,0.289,0.311
Spencer Torkelson,74,312,16,43,49,1,12.20%,24.40%,0.246,0.244,0.223,0.33,0.47,0.341,0.361,121,0.4,8.1,-6.8,1.2,12.20%,24.40%,0.5,0.223,0.33,0.47,0.8,0.246,2.7,0.244,0.7,-0.2,43,6.8,0.341,121,0.244,0.6,18.20%,30.70%,51.00%,10.20%,16.30%,1,1.70%,0,0.00%,47.40%,27.60%,25.00%,12.50%,56.30%,31.30%,269,87.3,100.4,104.7,12.5,5,1.90%,75,27.90%,0.294,0.289,0.37,0.374,0.313,0.31
Steven Kwan,74,319,6,36,24,10,8.20%,9.10%,0.122,0.327,0.31,0.371,0.432,0.354,0.328,130,1.1,12.2,0.4,2.4,8.20%,9.10%,0.9,0.31,0.371,0.432,0.803,0.122,4.3,0.327,0.1,1,47,10.2,0.354,130,0.327,1.24,24.30%,42.00%,33.70%,2.30%,7.00%,4,3.70%,2,33.30%,32.20%,41.40%,26.40%,13.00%,67.40%,19.50%,188,91,105.6,111.3,12.4,23,12.20%,88,46.80%,0.194,0.246,0.306,0.416,0.248,0.31
Taylor Ward,77,330,19,43,53,1,9.10%,26.70%,0.255,0.224,0.211,0.282,0.466,0.319,0.33,103,0.3,1.4,-2.4,1,9.10%,26.70%,0.34,0.211,0.282,0.466,0.748,0.255,3.1,0.224,0.9,-0.6,39,1.3,0.319,103,0.224,0.64,12.80%,34.10%,53.10%,8.00%,17.00%,6,8.30%,0,0.00%,36.50%,32.70%,30.80%,11.80%,49.30%,38.90%,212,87.4,101.7,110.7,16.1,11,5.20%,60,28.30%,0.24,0.247,0.344,0.39,0.293,0.31
Teoscar Hernández,64,264,14,40,53,5,4.50%,24.20%,0.234,0.302,0.266,0.3,0.5,0.343,0.357,120,0.8,7.1,-7.6,0.8,4.50%,24.20%,0.19,0.266,0.3,0.5,0.8,0.234,5,0.302,0.1,0.7,37,6,0.343,120,0.302,1.11,20.40%,41.90%,37.60%,7.10%,20.00%,5,6.40%,0,0.00%,37.10%,33.30%,29.60%,14.50%,48.40%,37.10%,171,88.7,100.8,106.4,11.7,7,4.10%,63,36.80%,0.266,0.248,0.386,0.348,0.332,0.309
TJ Friedl,76,339,8,47,30,9,11.20%,15.60%,0.14,0.329,0.291,0.377,0.432,0.357,0.311,122,1.7,10.5,0,2.2,11.20%,15.60%,0.72,0.291,0.377,0.432,0.808,0.14,5.3,0.329,1.8,-0.1,51,11.7,0.357,122,0.329,1.27,22.50%,43.30%,34.20%,15.20%,10.10%,5,5.00%,5,38.50%,52.00%,29.90%,18.00%,16.40%,59.00%,24.60%,209,88.9,103.1,109.9,20.2,23,11.00%,88,42.10%,0.206,0.213,0.344,0.397,0.283,0.306
